Date,Day,Theme,Passage
2026-01-04,Sunday,Chosen by God,Psalm 89:1-18
2026-01-05,Monday,Chosen by God,John 15:12-17
2026-01-06,Tuesday,Chosen by God,1 Thessalonians 1:2-10
2026-01-07,Wednesday,Chosen by God,Isaiah 42:1-9
2026-01-08,Thursday,Chosen by God,Luke 10:1-12
2026-01-09,Friday,Chosen by God,1 Peter 2:1-10
2026-01-10,Saturday,Chosen by God,Colossians 3:12-17
2026-01-11,Sunday,God's Eternal Purpose,Psalm 45
2026-01-12,Monday,God's Eternal Purpose,Isaiah 46:5-11
2026-01-13,Tuesday,God's Eternal Purpose,Hebrews 6:9-20
2026-01-14,Wednesday,God's Eternal Purpose,Matthew 19:16-30
2026-01-15,Thursday,God's Eternal Purpose,Matthew 6:25-34
2026-01-16,Friday,God's Eternal Purpose,1 Corinthians 3:10-17
2026-01-17,Saturday,God's Eternal Purpose,2 Timothy 1:1-14
2026-01-18,Sunday,Following Jesus,Psalm 148
2026-01-19,Monday,Following Jesus,John 1:35-51
2026-01-20,Tuesday,Following Jesus,Matthew 9:9-13
2026-01-21,Wednesday,Following Jesus,Luke 9:23-27
2026-01-22,Thursday,Following Jesus,Matthew 10:34-42
2026-01-23,Friday,Following Jesus,John 10:22-30
2026-01-24,Saturday,Following Jesus,Matthew 11:25-30
2026-01-25,Sunday,The Call of God,Psalm 131
2026-01-26,Monday,The Call of God,Luke 5:1-11
2026-01-27,Tuesday,The Call of God,Jeremiah 1:1-10
2026-01-28,Wednesday,The Call of God,Romans 1:1-7
2026-01-29,Thursday,The Call of God,1 Peter 1:13-25
2026-01-30,Friday,The Call of God,1 Peter 3:8-12
2026-01-31,Saturday,The Call of God,John 21:15-23
2026-02-01,Sunday,The Power of God's Word,Psalm 29
2026-02-02,Monday,The Power of God's Word,John 1:1-13
2026-02-03,Tuesday,The Power of God's Word,Genesis 1:1-19
2026-02-04,Wednesday,The Power of God's Word,Genesis 1:20-31
2026-02-05,Thursday,The Power of God's Word,Matthew 9:1-8
2026-02-06,Friday,The Power of God's Word,2 Corinthians 12:1-10
2026-02-07,Saturday,The Power of God's Word,1 Peter 1:3-9
2026-02-08,Sunday,The Meaning of Discipleship,Psalm 32
2026-02-09,Monday,The Meaning of Discipleship,Luke 14:7-14
2026-02-10,Tuesday,The Meaning of Discipleship,Luke 9:57-62
2026-02-11,Wednesday,The Meaning of Discipleship,Luke 14:25-34
2026-02-12,Thursday,The Meaning of Discipleship,John 6:60-71
2026-02-13,Friday,The Meaning of Discipleship,Acts 4:32-37
2026-02-14,Saturday,The Meaning of Discipleship,Romans 15:1-13
2026-02-15,Sunday,God's Transforming Power,Psalm 66
2026-02-16,Monday,God's Transforming Power,2 Corinthians 3:4-18
2026-02-17,Tuesday,God's Transforming Power,1 Peter 1:13-25
2026-02-18,Wednesday,God's Transforming Power,Hebrews 1:1-4
2026-02-19,Thursday,God's Transforming Power,Jeremiah 32:16-27
2026-02-20,Friday,God's Transforming Power,Luke 9:1-6
2026-02-21,Saturday,God's Transforming Power,Luke 24:36-53
2026-02-22,Sunday,Getting Ready to Serve,Psalm 19
2026-02-23,Monday,Getting Ready to Serve,Luke 16:1-13
2026-02-24,Tuesday,Getting Ready to Serve,Matthew 20:20-28
2026-02-25,Wednesday,Getting Ready to Serve,Philippians 2:1-11
2026-02-26,Thursday,Getting Ready to Serve,Hebrews 12:12-17
2026-02-27,Friday,Getting Ready to Serve,1 Peter 4:1-11
2026-02-28,Saturday,Getting Ready to Serve,John 12:20-36
2026-03-01,Sunday,What God Has Promised,Psalm 119:33-48
2026-03-02,Monday,What God Has Promised,1 Kings 8:22-30
2026-03-03,Tuesday,What God Has Promised,Nehemiah 9:6-25
2026-03-04,Wednesday,What God Has Promised,Romans 4:16-25
2026-03-05,Thursday,What God Has Promised,James 1:1-15
2026-03-06,Friday,What God Has Promised,2 Corinthians 1:12-22
2026-03-07,Saturday,What God Has Promised,2 Peter 3:5-13
2026-03-08,Sunday,Meeting God Face to Face,Psalm 27
2026-03-09,Monday,Meeting God Face to Face,Genesis 32:22-32
2026-03-10,Tuesday,Meeting God Face to Face,Exodus 3:1-12
2026-03-11,Wednesday,Meeting God Face to Face,Isaiah 55
2026-03-12,Thursday,Meeting God Face to Face,2 Corinthians 4:1-6
2026-03-13,Friday,Meeting God Face to Face,1 Corinthians 13:1-13
2026-03-14,Saturday,Meeting God Face to Face,Romans 8:1-17
2026-03-15,Sunday,The God Who Seeks,Psalm 107
2026-03-16,Monday,The God Who Seeks,Luke 19:1-10
2026-03-17,Tuesday,The God Who Seeks,Matthew 18:10-14
2026-03-18,Wednesday,The God Who Seeks,Ezekiel 36:22-30
2026-03-19,Thursday,The God Who Seeks,Jeremiah 30:1-10
2026-03-20,Friday,The God Who Seeks,Hebrews 2:1-18
2026-03-21,Saturday,The God Who Seeks,Romans 5:1-11
2026-03-22,Sunday,Power to Give Life,Psalm 36
2026-03-23,Monday,Power to Give Life,John 17:1-19
2026-03-24,Tuesday,Power to Give Life,Romans 6:1-14
2026-03-25,Wednesday,Power to Give Life,John 10:22-30
2026-03-26,Thursday,Power to Give Life,Matthew 16:21-28
2026-03-27,Friday,Power to Give Life,Luke 8:40-56
2026-03-28,Saturday,Power to Give Life,John 12:44-50
2026-03-29,Sunday,The Cost of Right Choices,Psalm 56
2026-03-30,Monday,The Cost of Right Choices,Acts 14:19-28
2026-03-31,Tuesday,The Cost of Right Choices,1 Peter 2:21-25
2026-04-01,Wednesday,The Cost of Right Choices,1 Corinthians 1:3-11
2026-04-02,Thursday,The Cost of Right Choices,Isaiah 53:1-6
2026-04-03,Friday,The Cost of Right Choices,Isaiah 53:7-9
2026-04-04,Saturday,The Cost of Right Choices,Isaiah 53:10-12
2026-04-05,Sunday,The Living Christ,Psalm 23
2026-04-06,Monday,The Living Christ,Acts 3:11-16
2026-04-07,Tuesday,The Living Christ,Acts 4:1-12
2026-04-08,Wednesday,The Living Christ,Acts 5:17-32
2026-04-09,Thursday,The Living Christ,Acts 2:22-36
2026-04-10,Friday,The Living Christ,Ephesians 1:15-23
2026-04-11,Saturday,The Living Christ,2 Corinthians 4:7-18
2026-04-12,Sunday,Life in Christ,Psalm 126
2026-04-13,Monday,Life in Christ,Romans 6:1-11
2026-04-14,Tuesday,Life in Christ,Ephesians 2:1-10
2026-04-15,Wednesday,Life in Christ,Galatians 2:11-21
2026-04-16,Thursday,Life in Christ,John 17:1-5
2026-04-17,Friday,Life in Christ,Romans 6:15-23
2026-04-18,Saturday,Life in Christ,Romans 8:18-30
2026-04-19,Sunday,Companionship with the Living Lord,Psalm 121
2026-04-20,Monday,Companionship with the Living Lord,Ezekiel 36:22-36
2026-04-21,Tuesday,Companionship with the Living Lord,Genesis 17:1-8
2026-04-22,Wednesday,Companionship with the Living Lord,Genesis 39:19-23
2026-04-23,Thursday,Companionship with the Living Lord,Philippians 4:1-9
2026-04-24,Friday,Companionship with the Living Lord,Colossians 2:6-15
2026-04-25,Saturday,Companionship with the Living Lord,Acts 4:23-37
2026-04-26,Sunday,The True Shepherd,Psalm 80
2026-04-27,Monday,The True Shepherd,Jeremiah 23:1-8
2026-04-28,Tuesday,The True Shepherd,Ezekiel 11:14-21
2026-04-29,Wednesday,The True Shepherd,Jeremiah 31:10-14
2026-04-30,Thursday,The True Shepherd,John 10:1-18
2026-05-01,Friday,The True Shepherd,1 Peter 5:1-11
